user_region,friend_region,scaled_sci,origin_area,origin_ec,origin_bias,origin_population,origin_clustering,origin_support_ratio,origin_volunteering,origin_civic_orgs,destination_area,destination_ec,destination_bias,destination_population,destination_clustering,destination_support_ratio,destination_volunteering,destination_civic_orgs,log_sci,tie_type
11203,10027,158185,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.78485,0.38608,64548,0.076480001,0.80201,0.077590004,0.021989999,11.9715268348245,Brooklyn-Harlem
11203,10029,149006,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.88010001,0.43557999,79597,0.073399998,0.87133002,0.0473,0.0057399999,11.9117485636898,Brooklyn-Harlem
11203,10030,211726,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.67477,0.33116999,29882,0.070330001,0.82393998,0.053180002,0.016349999,12.2630529879608,Brooklyn-Harlem
11203,10031,121726,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.74668002,0.31459999,60254,0.071039997,0.78671998,0.069849998,0.00654,11.7095361113945,Brooklyn-Harlem
11203,10035,167419,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.72060001,0.39825001,35743,0.068190001,0.82261997,0.046080001,0.01853,12.028260904214,Brooklyn-Harlem
11203,10037,243328,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.77882999,0.41824001,21139,0.067309998,0.81145,0.053289998,0.00019000001,12.4021697160787,Brooklyn-Harlem
11203,10039,234208,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.70666999,0.23648,27726,0.067460001,0.84428,0.03661,0.00060999999,12.3639691581008,Brooklyn-Harlem
11203,11201,183792,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,12.1215654033036,Brooklyn-Brooklyn
11203,11203,1708935,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,14.351381512596,Brooklyn-Brooklyn
11203,11205,402287,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.78127998,0.58508003,46064,0.074409999,0.76064998,0.079410002,0.0093599996,12.9049235290068,Brooklyn-Brooklyn
11203,11206,360438,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.73448998,0.51674002,88349,0.077950001,0.80877,0.063639998,0.0036200001,12.7950780119583,Brooklyn-Brooklyn
11203,11207,749228,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.71780998,0.39201,91972,0.067570001,0.84707999,0.030169999,0.0044300002,13.5267999567581,Brooklyn-Brooklyn
11203,11208,565991,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.66650999,0.17115,98660,0.07282,0.84635001,0.021910001,0.0050900001,13.2463352228098,Brooklyn-Brooklyn
11203,11209,91271,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Brooklyn,0.96572,0.15273,67809,0.07705,0.8757,0.0814,0.0070799999,11.4215993382762,Brooklyn-Brooklyn
