tract,state,county,study_region,mean_commute_time,short_commute_share,job_density_2013,jobs_within_5mi,highpay_jobs_5mi,pop_density_2010,rent_2bed_2015,med_income_2016
00000092800,36,47,Brooklyn Baseline,49.458717,0.14183836,950.81964,566529,256739,43540.984,1295,51306
00000093000,36,47,Brooklyn Baseline,52.992931,0.069137566,2293.3333,580548,259384,33960,1356,58914
00000093200,36,47,Brooklyn Baseline,47.908279,0.11507937,23722.221,586976,261796,10574.074,864,86563
00000093400,36,47,Brooklyn Baseline,51.61842,0.062549487,695.65222000000006,590227,263095,34797.102,1069,48941
00000093600,36,47,Brooklyn Baseline,52.397026,0.050618671,890.62494,607338,268643,25437.498,1302,72813
00000093800,36,47,Brooklyn Baseline,54.807182,0.10059761,509.80392,625739,276971,46549.02,1318,38631
00000094401,36,47,Brooklyn Baseline,46.779526,0.021881837,5608.3911,494815,196416,22391.607,1350,71591
00000094402,36,47,Brooklyn Baseline,54.129162,0.04903226,0,443000,169469,70390.242,557,17000
00000094600,36,47,Brooklyn Baseline,52.347755,0.050000001,4954.1284,588538,260182,16788.992,NA,58026
00000095000,36,47,Brooklyn Baseline,56.377247,0.050589051,4446.8086,435108,166547,30914.895,1357,73472
00000095400,36,47,Brooklyn Baseline,51.979038,0.059824903,1260.8695,442909,170333,50076.086,1416,65500
00000095600,36,47,Brooklyn Baseline,48.966003,0.052631579,1402.174,404650,153696,43934.781,1628,63456
00000095800,36,47,Brooklyn Baseline,48.512135,0.07866583,1744.4443,437095,168885,38400,1364,62671
00000096000,36,47,Brooklyn Baseline,NA,NA,10640.243,487680,197275,0,NA,NA
00000096200,36,47,Brooklyn Baseline,46.870728,0.12706481,4130.4351,461720,186293,24884.059,1225,70298
00000096400,36,47,Brooklyn Baseline,54.658272,0.16152018,2602.9409,415961,164680,34720.586,1404,58542
00000096600,36,47,Brooklyn Baseline,43.316151,0.097094804,3171.4285,375102,144628,30914.285,NA,63472
00000096800,36,47,Brooklyn Baseline,48.722622,0.097622029,5137.9312,403814,157055,25362.07,1452,62308
00000097000,36,47,Brooklyn Baseline,48.742088,0,1238.0952,450768,181990,33412.699,1366,76094
00000097400,36,47,Brooklyn Baseline,46.920776,0.021891419,6061.8555,376359,144678,28082.473,1358,60417
00000098200,36,47,Brooklyn Baseline,56.448616,0.10341556,360.90225,361161,140435,32368.42,601,23279
00000098400,36,47,Brooklyn Baseline,52.248466,0.060022648,1863.6364,337601,133420,44954.547,1596,67961
00000098600,36,47,Brooklyn Baseline,55.280743,0.057142857,1166.6667,340698,133962,47700,1349,66845
00000098800,36,47,Brooklyn Baseline,55.824162,0.064935066,9571.4287,352446,136204,48476.191,1461,65921
00000099000,36,47,Brooklyn Baseline,54.177349,0.052112676,920.63489,340518,133906,22571.428,1170,88824
00000099200,36,47,Brooklyn Baseline,50.017834,0.031887755,1307.6923,348113,136270,35250,1491,67411
00000099400,36,47,Brooklyn Baseline,52.499435,0.04748062,283.58209,360498,142273,29522.387,1442,65489
